SPEC,roundlon,roundlat
Leptown,-102.26889,39.3061
Leptown,-95.934,45.94131
Leptown,-103.21768,40.01565
Leptown,-93.7603,43.1954
Leptown,-104.0439,39.61498
Leptown,-101.5083,43.7062
Leptown,-103.79944,40.25027
Leptown,-110.0152,46.1043
Leptown,-119.6,47.59
Leptown,-108.9375,42.3372
Leptown,-106.6667,42.5
Leptown,-108.68015,39.16034
Leptown,-98.0017,49.5
Leptown,-100.09149,46.56529
Leptown,-93.49096,42.3128
Leptown,-96.8209,48.3328
Leptown,-112.1236,42.4286
Leptown,-112.65602,46.44699
Leptown,-114.0552,46.2047
Leptown,-102.97423,41.19082
Leptown,-104.99311,44.80585
Leptown,-107.3796,47.1008
Leptown,-109.6024,44.17881
Leptown,-115.1975,40.72861
Leptown,-107.73487,42.48032
Leptown,-97.19332,42.14861
Leptown,-102.806,46.91753
Leptown,-101.7953,47.003
Leptown,-108.40088,45.07859
Leptown,-109.5,49.66667
Leptown,-109.35,40.38333
Leptown,-106.1992,43.9639
Leptown,-91.987,43.2534
Leptown,-102.2028,42.8047
Leptown,-111.8333,41.6667
Leptown,-104.05188,48.8703
Leptown,-111.88333,50.58333
Leptown,-110.56107,45.66243
Leptown,-109.65,41
Leptown,-104.31861,41.54361
Leptown,-100.5867,48.3153
Leptown,-113.60733,60.11501
Leptown,-105.13684,40.63038
Leptown,-94.7518,39.87059
Leptown,-94.86692,40.34999
Leptown,-114.31733,43.5525
Leptown,-104.74591,38.33501
Leptown,-113.41869,37.11499
Leptown,-117.94465,44.32433
Leptown,-105.50055,37.20496
Leptown,-102.22325,40.07582
Leptown,-104.57611,38.8242
Leptown,-108.3748,38.15999
Leptown,-105.94865,38.2486
Leptown,-96.10414,44.17726
Leptown,-103.75203,48.10435
Leptown,-113.96366,46.85257
Leptown,-108.54188,46.44818
Leptown,-105.76251,47.29791
Leptown,-112.56546,45.1254
Leptown,-108.95864,47.30471
Leptown,-110.11432,42.53828
Leptown,-114.51865,42.72407
Leptown,-98.2213,43.72421
Leptown,-106.03312,42.557
Leptown,-96.19322,45.01138
Leptown,-115.1595,42.0713
